ArriveTime,LogicalID,EndDeviceSID,RouterSID,LQI,SequenceNumber,Sensor,PALID,PALVersion,Power,ADC1,HALLIC
	2020/08/18 16:55:41.458,8,	2014E07,	No Relay,96,4,	PAL,1,1,2245,817,Close(N)
	2020/08/18 16:55:41.883,8,	2014E07,	No Relay,108,5,	PAL,1,1,2245,1317,Open
	2020/08/18 16:56:52.508,8,	2014E07,	No Relay,198,0,	PAL,1,1,2510,839,Open
	2020/08/18 16:57:17.652,8,	2014E07,	No Relay,123,1,	PAL,1,1,2510,839,Close(S)
	2020/08/18 16:57:17.697,8,	2014E07,	No Relay,132,2,	PAL,1,1,2270,1107,Open
	2020/08/18 16:57:17.726,8,	2014E07,	No Relay,153,3,	PAL,1,1,2270,1152,Close(N)
	2020/08/18 16:57:17.736,8,	2014E07,	No Relay,168,4,	PAL,1,1,2270,1169,Close(S)
	2020/08/18 16:57:17.741,8,	2014E07,	No Relay,150,5,	PAL,1,1,2270,875,Open
	2020/08/18 16:57:17.746,8,	2014E07,	No Relay,153,6,	PAL,1,1,2270,1256,Close(S)
	2020/08/18 16:57:17.751,8,	2014E07,	No Relay,108,7,	PAL,1,1,2270,1073,Open
	2020/08/18 16:57:17.756,8,	2014E07,	No Relay,126,8,	PAL,1,1,2270,1136,Close(S)
	2020/08/18 16:57:17.761,8,	2014E07,	No Relay,105,9,	PAL,1,1,2270,1049,Open
	2020/08/18 16:57:17.765,8,	2014E07,	No Relay,153,10,	PAL,1,1,2270,1049,Close(S)
	2020/08/18 16:57:17.769,8,	2014E07,	No Relay,138,11,	PAL,1,1,2270,947,Open
	2020/08/18 16:57:17.772,8,	2014E07,	No Relay,123,13,	PAL,1,1,2270,1174,Close(S)
	2020/08/18 16:57:17.775,8,	2014E07,	No Relay,162,14,	PAL,1,1,2270,1116,Open
	2020/08/18 17:03:06.991,8,	2014E07,	No Relay,144,1,	PAL,1,1,2480,1013,Close(S)
	2020/08/18 17:03:07.622,8,	2014E07,	No Relay,138,2,	PAL,1,1,2240,1080,Open
	2020/08/18 18:10:51.320,8,	2014E07,	No Relay,153,1,	PAL,1,1,2675,890,Close(S)
	2020/08/18 18:10:51.691,8,	2014E07,	No Relay,153,2,	PAL,1,1,2520,1083,Close(N)
	2020/08/18 18:10:51.748,8,	2014E07,	No Relay,144,3,	PAL,1,1,2520,1251,Close(S)
	2020/08/18 18:10:52.016,8,	2014E07,	No Relay,162,4,	PAL,1,1,2520,1244,Open
